2015-09-20T18:18:04.911+0100 I JOURNAL  [initandlisten] journal dir=/Users/Anyi/Github_Repos/Python/MongoDB_M102_MongoDB_For_DBAs/Final_Exam/Question2/data/z2/journal
2015-09-20T18:18:04.912+0100 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-09-20T18:18:04.943+0100 I JOURNAL  [durability] Durability thread started
2015-09-20T18:18:04.944+0100 I JOURNAL  [journal writer] Journal writer thread started
2015-09-20T18:18:04.944+0100 I CONTROL  [initandlisten] MongoDB starting : pid=21590 port=27002 dbpath=/Users/Anyi/Github_Repos/Python/MongoDB_M102_MongoDB_For_DBAs/Final_Exam/Question2/data/z2 64-bit host=Anyis-MacBook-Pro.local
2015-09-20T18:18:04.945+0100 I CONTROL  [initandlisten] db version v3.0.3
2015-09-20T18:18:04.945+0100 I CONTROL  [initandlisten] git version: b40106b36eecd1b4407eb1ad1af6bc60593c6105
2015-09-20T18:18:04.945+0100 I CONTROL  [initandlisten] build info: Darwin bs-osx108-7 12.5.0 Darwin Kernel Version 12.5.0: Sun Sep 29 13:33:47 PDT 2013; root:xnu-2050.48.12~1/RELEASE_X86_64 x86_64 BOOST_LIB_VERSION=1_49
2015-09-20T18:18:04.945+0100 I CONTROL  [initandlisten] allocator: system
2015-09-20T18:18:04.945+0100 I CONTROL  [initandlisten] options: { net: { port: 27002 }, processManagement: { fork: true }, replication: { oplogSizeMB: 50, replSet: "z" }, storage: { dbPath: "data/z2", mmapv1: { smallFiles: true } }, systemLog: { destination: "file", path: "b.log" } }
2015-09-20T18:18:04.946+0100 I INDEX    [initandlisten] allocating new ns file /Users/Anyi/Github_Repos/Python/MongoDB_M102_MongoDB_For_DBAs/Final_Exam/Question2/data/z2/local.ns, filling with zeroes...
2015-09-20T18:18:05.012+0100 I STORAGE  [FileAllocator] allocating new datafile /Users/Anyi/Github_Repos/Python/MongoDB_M102_MongoDB_For_DBAs/Final_Exam/Question2/data/z2/local.0, filling with zeroes...
2015-09-20T18:18:05.012+0100 I STORAGE  [FileAllocator] creating directory /Users/Anyi/Github_Repos/Python/MongoDB_M102_MongoDB_For_DBAs/Final_Exam/Question2/data/z2/_tmp
2015-09-20T18:18:05.079+0100 I STORAGE  [FileAllocator] done allocating datafile /Users/Anyi/Github_Repos/Python/MongoDB_M102_MongoDB_For_DBAs/Final_Exam/Question2/data/z2/local.0, size: 16MB,  took 0.066 secs
2015-09-20T18:18:05.119+0100 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument Did not find replica set configuration document in local.system.replset
2015-09-20T18:18:05.121+0100 I NETWORK  [initandlisten] waiting for connections on port 27002
2015-09-20T18:18:21.672+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64323 #1 (1 connection now open)
2015-09-20T18:18:21.672+0100 I NETWORK  [conn1] end connection 127.0.0.1:64323 (0 connections now open)
2015-09-20T18:18:21.673+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64325 #2 (1 connection now open)
2015-09-20T18:18:23.681+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64329 #3 (2 connections now open)
2015-09-20T18:18:23.682+0100 I NETWORK  [conn3] end connection 127.0.0.1:64329 (1 connection now open)
2015-09-20T18:18:23.685+0100 I REPL     [WriteReplSetConfig] Starting replication applier threads
2015-09-20T18:18:23.685+0100 I REPL     [rsSync] replSet warning did not receive a valid config yet, sleeping 5 seconds 
2015-09-20T18:18:23.686+0100 I REPL     [ReplicationExecutor] New replica set config in use: { _id: "z", version: 1, members: [ { _id: 1, host: "localhost:27001", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "localhost:27002", arbiterOnly: true, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 3, host: "localhost:27003", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatTimeoutSecs: 10, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 } } }
2015-09-20T18:18:23.686+0100 I REPL     [ReplicationExecutor] This node is localhost:27002 in the config
2015-09-20T18:18:23.686+0100 I REPL     [ReplicationExecutor] transition to ARBITER
2015-09-20T18:18:23.687+0100 I REPL     [ReplicationExecutor] Member localhost:27003 is now in state SECONDARY
2015-09-20T18:18:23.687+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64333 #4 (2 connections now open)
2015-09-20T18:18:23.688+0100 I REPL     [ReplicationExecutor] Member localhost:27001 is now in state STARTUP2
2015-09-20T18:18:25.682+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64334 #5 (3 connections now open)
2015-09-20T18:18:25.682+0100 I REPL     [ReplicationExecutor] replSetElect voting yea for localhost:27003 (3)
2015-09-20T18:18:25.688+0100 I REPL     [ReplicationExecutor] Member localhost:27003 is now in state PRIMARY
2015-09-20T18:18:29.690+0100 I REPL     [ReplicationExecutor] Member localhost:27001 is now in state SECONDARY
2015-09-20T18:18:51.735+0100 I NETWORK  [conn2] end connection 127.0.0.1:64325 (2 connections now open)
2015-09-20T18:18:53.738+0100 I NETWORK  [conn4] end connection 127.0.0.1:64333 (1 connection now open)
2015-09-20T18:18:53.739+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64347 #6 (3 connections now open)
2015-09-20T18:18:55.742+0100 I NETWORK  [conn5] end connection 127.0.0.1:64334 (1 connection now open)
2015-09-20T18:18:55.742+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64348 #7 (3 connections now open)
2015-09-20T18:19:23.783+0100 I NETWORK  [conn6] end connection 127.0.0.1:64347 (1 connection now open)
2015-09-20T18:19:23.783+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64359 #8 (3 connections now open)
2015-09-20T18:19:25.789+0100 I NETWORK  [conn7] end connection 127.0.0.1:64348 (1 connection now open)
2015-09-20T18:19:25.789+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64361 #9 (3 connections now open)
2015-09-20T18:19:25.790+0100 I NETWORK  [ReplExecNetThread-0] DBClientCursor::init call() failed
2015-09-20T18:19:25.791+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location10276 DBClientBase::findN: transport error: localhost:27001 ns: admin.$cmd query: { replSetHeartbeat: "z", pv: 1, v: 1, from: "localhost:27002", fromId: 2, checkEmpty: false }
2015-09-20T18:19:28.445+0100 I NETWORK  [ReplExecNetThread-1] Socket recv() errno:54 Connection reset by peer 127.0.0.1:27001
2015-09-20T18:19:28.445+0100 I NETWORK  [ReplExecNetThread-1] SocketException: remote: 127.0.0.1:27001 error: 9001 socket exception [RECV_ERROR] server [127.0.0.1:27001] 
2015-09-20T18:19:28.445+0100 I NETWORK  [ReplExecNetThread-1] DBClientCursor::init call() failed
2015-09-20T18:19:28.446+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location10276 DBClientBase::findN: transport error: localhost:27001 ns: admin.$cmd query: { replSetHeartbeat: "z", pv: 1, v: 1, from: "localhost:27002", fromId: 2, checkEmpty: false }
2015-09-20T18:19:28.447+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:28.447+0100 I NETWORK  [conn8] end connection 127.0.0.1:64359 (1 connection now open)
2015-09-20T18:19:28.448+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:30.450+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:30.450+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:30.451+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:30.451+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:30.451+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:30.452+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:32.454+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:32.455+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:32.455+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:32.456+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:32.456+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:32.456+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:34.459+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:34.459+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:34.460+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:34.460+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:34.461+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:34.461+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:36.466+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:36.467+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:36.467+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:36.468+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:36.468+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:36.469+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:38.469+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
